overfit_rank,overfit_config_id,overfit_stage,reference_source,reference_source_config_id,model,resolved_model,cnn_epochs,stage1_regularization_value,cnn_weight_decay,cnn_dropout,cnn_label_smoothing,sqi_mode,aggregation,window_sampler,windows_per_subject_per_epoch,train_overlap_pct,subject_balanced_accuracy_mean,subject_balanced_accuracy_std,subject_balanced_accuracy_ci95_low,subject_macro_f1_mean,subject_macro_f1_std,worst_class_recall_mean,worst_class_f1_mean,train_val_balanced_accuracy_gap_mean,best_epoch_train_balanced_accuracy_mean,best_epoch_val_balanced_accuracy_mean,n_train_samples_per_epoch_mean,duration_sec_mean
3,gen_212,generalization,,,small_inceptiontime,small_inception_time,15,wd0.01_do0.5_ls0.3,0.01,0.5,0.3,top50_quality,mean_prob,none,all,30.0,0.5814814814814815,0.0557096628018197,0.5123198882320803,0.5702389702847369,0.0601032329994144,0.4166666666666667,0.4785964912280701,0.4604845057182803,0.9672835451914852,0.5067990394732049,22632.0,94.57035294836388
4,gen_080,generalization,,,inceptiontime,inception_time,15,wd0.005_do0.5_ls0.2,0.005,0.5,0.2,top50_quality,mean_prob,class_subject_balanced,50%,30.0,0.5805555555555555,0.0371237411050545,0.5344677324908647,0.5693044657341333,0.0364271780954787,0.425,0.4761378490790256,0.4914542495797296,0.9808605706874848,0.4894063211077549,14111.8,216.17194794584063
5,gen_030,generalization,,,inceptiontime,inception_time,10,wd0.01_do0.5_ls0.3,0.01,0.5,0.3,none,mean_prob,none,all,30.0,0.576851851851852,0.0574148740663981,0.5055732986002944,0.5603147832559597,0.0735641276223086,0.3888888888888889,0.4601120448179271,0.475327657663663,0.9885865554907814,0.5132588978271186,45180.0,371.34983937921936
6,gen_066,generalization,,,inceptiontime,inception_time,15,wd0.005_do0.5_ls0.2,0.005,0.5,0.2,none,mean_prob,class_subject_balanced,50%,30.0,0.5768518518518518,0.0889081769196874,0.4664754672282428,0.5606342332878879,0.1142831787132696,0.4527777777777778,0.477,0.4700327135963859,0.9882750780811412,0.518242364484755,28078.4,367.0191007771529
7,gen_074,generalization,,,inceptiontime,inception_time,15,wd0.005_do0.5_ls0.2,0.005,0.5,0.2,top50_quality,mean_prob,subject_balanced,50%,30.0,0.5759259259259258,0.1059568395708925,0.4443842243280703,0.5584704512320611,0.111452322814776,0.35,0.400061919504644,0.4797634759717775,0.982216281716126,0.5024528057443485,11364.0,186.3061547177844
10,gen_093,generalization,,,inceptiontime,inception_time,15,wd0.01_do0.5_ls0.3,0.01,0.5,0.3,none,mean_prob,class_subject_balanced,50%,0.0,0.5666666666666667,0.0754785827960843,0.4729626523208193,0.5354932762455982,0.1045080387718743,0.325,0.383641456582633,0.45428392701533,0.9801883671544196,0.5259044401390894,19735.0,276.6156888670754
12,gen_121,generalization,,,small_inceptiontime,small_inception_time,10,wd0.005_do0.5_ls0.2,0.005,0.5,0.2,none,mean_prob,class_subject_balanced,50%,0.0,0.5648148148148148,0.0431823104309667,0.5112054903387323,0.5562188030482551,0.041221862038168,0.3916666666666667,0.4541942268258057,0.4351608500817214,0.939894682049856,0.5047338319681346,19735.0,58.36636384758167
17,gen_065,generalization,,,inceptiontime,inception_time,15,wd0.005_do0.5_ls0.2,0.005,0.5,0.2,none,mean_prob,class_subject_balanced,50%,0.0,0.5629629629629629,0.0946869616858937,0.4454124196499004,0.552113955950273,0.0945974724902127,0.3916666666666667,0.4457142857142856,0.4596471156003947,0.98201345021153,0.5223663346111351,19735.0,276.1084015224129
19,gen_001,generalization,,,inceptiontime,inception_time,10,wd0.005_do0.5_ls0.2,0.005,0.5,0.2,none,mean_prob,none,all,0.0,0.5592592592592592,0.0551100968146406,0.4908420061628216,0.5486065416065415,0.0535546932301214,0.4,0.4509206349206349,0.4670620433797458,0.9856277333592384,0.5185656899794925,31704.0,274.57955424059185
20,gen_177,generalization,,,small_inceptiontime,small_inception_time,15,wd0.005_do0.5_ls0.2,0.005,0.5,0.2,none,mean_prob,class_subject_balanced,50%,0.0,0.5583333333333333,0.1061589317620846,0.4265407413652411,0.5521513543598167,0.108387628756217,0.4333333333333333,0.4629288358700124,0.448125706620158,0.9543400468826058,0.5062143402624476,19735.0,83.75326548698358
