source_study,source_kind,source_file,size_bytes,sha256
20260527_1320_cnn_inceptionTime,root_manifest_or_run_table,/home/trinker/Code/github/PPG-Frailty-pipeline/results_frailty3/20260527_1320_cnn_inceptionTime/sweep_manifest.json,17364,072c8ee7b4d87d92b2222620d4e75e1d7e29c1830e0c92816ace1e92b11bdc01
20260527_1320_cnn_inceptionTime,root_manifest_or_run_table,/home/trinker/Code/github/PPG-Frailty-pipeline/results_frailty3/20260527_1320_cnn_inceptionTime/sweep_runs.csv,227361,848c945e3b13b9c2ccc146a00bf085d88a277aed2837d8e8a992957e6cfa7b6d
20260527_1320_cnn_inceptionTime,root_manifest_or_run_table,/home/trinker/Code/github/PPG-Frailty-pipeline/results_frailty3/20260527_1320_cnn_inceptionTime/sweep_summary.csv,56121,0a8ae0c68e48a36dd0d4a1d08432c951b504e4032930f40b90f5de6e1a5c1387
20260528_1045_shapeformer_0extra,root_manifest_or_run_table,/home/trinker/Code/github/PPG-Frailty-pipeline/results_frailty3/20260528_1045_shapeformer_0extra/sweep_manifest.json,4052,9aecc1da96bbb682264bb0a75cfbb66e29955ce7774454d7d610de92defd0895
20260528_1045_shapeformer_0extra,root_manifest_or_run_table,/home/trinker/Code/github/PPG-Frailty-pipeline/results_frailty3/20260528_1045_shapeformer_0extra/sweep_runs.csv,39893,d6041262ef3168bf8e04096c9adc8e0632092ae8fd415d847d29d8e5b5023ff2
20260528_1045_shapeformer_0extra,root_manifest_or_run_table,/home/trinker/Code/github/PPG-Frailty-pipeline/results_frailty3/20260528_1045_shapeformer_0extra/sweep_summary.csv,10309,5a03df528a87ed6cf4806506fa6b2d09e0716b68840429b0792cba367b878242
20260608_1206_overfitting_sweep_stage1_rank2,root_manifest_or_run_table,/home/trinker/Code/github/PPG-Frailty-pipeline/results_frailty3/_overfitting_sweep/20260608_1206_overfitting_sweep_stage1_rank2/overfitting_manifest.json,123229,6782995734105393d21cf22990180be342f4b2bb6c752f4edd657ed44c09f181
20260608_1206_overfitting_sweep_stage1_rank2,root_manifest_or_run_table,/home/trinker/Code/github/PPG-Frailty-pipeline/results_frailty3/_overfitting_sweep/20260608_1206_overfitting_sweep_stage1_rank2/overfitting_runs.csv,1364756,ddce5aceafd08318fbd22135db4105b2efbbf786b94c911a3c80ff7fd1def55e
20260608_1206_overfitting_sweep_stage1_rank2,root_manifest_or_run_table,/home/trinker/Code/github/PPG-Frailty-pipeline/results_frailty3/_overfitting_sweep/20260608_1206_overfitting_sweep_stage1_rank2/overfitting_summary.csv,324355,0b2d0458d220bdda06be4118dccca3f0898d7e23a787fe49c01b7a1ae325f1cf
20260625_2320_overfitting_sweep_stage1_rank2,root_manifest_or_run_table,/home/trinker/Code/github/PPG-Frailty-pipeline/results_frailty3/_overfitting_sweep/20260625_2320_overfitting_sweep_stage1_rank2/overfitting_manifest.json,126961,0b4acecbbf7bd2b8a919c6d82b3d710d908addd56145d762e70b7c1f1266d3dc
