descriptive_rank,overfit_config_id,overfit_config_name,model,resolved_model,overfit_stage,stage1_screen_group,stage1_regularization_factor,stage1_regularization_value,cnn_epochs,cnn_lr,cnn_weight_decay,cnn_dropout,cnn_label_smoothing,max_windows_fraction,n_runs,seeds,window_balanced_accuracy_n_repeats,window_balanced_accuracy_mean,window_balanced_accuracy_sample_sd,window_balanced_accuracy_repeat_t_ci95_low,window_balanced_accuracy_repeat_t_ci95_high,window_balanced_accuracy_repeat_t_ci95_method,window_macro_f1_n_repeats,window_macro_f1_mean,window_macro_f1_sample_sd,window_macro_f1_repeat_t_ci95_low,window_macro_f1_repeat_t_ci95_high,window_macro_f1_repeat_t_ci95_method,file_balanced_accuracy_n_repeats,file_balanced_accuracy_mean,file_balanced_accuracy_sample_sd,file_balanced_accuracy_repeat_t_ci95_low,file_balanced_accuracy_repeat_t_ci95_high,file_balanced_accuracy_repeat_t_ci95_method,file_macro_f1_n_repeats,file_macro_f1_mean,file_macro_f1_sample_sd,file_macro_f1_repeat_t_ci95_low,file_macro_f1_repeat_t_ci95_high,file_macro_f1_repeat_t_ci95_method,subject_balanced_accuracy_n_repeats,subject_balanced_accuracy_mean,subject_balanced_accuracy_sample_sd,subject_balanced_accuracy_repeat_t_ci95_low,subject_balanced_accuracy_repeat_t_ci95_high,subject_balanced_accuracy_repeat_t_ci95_method,subject_macro_f1_n_repeats,subject_macro_f1_mean,subject_macro_f1_sample_sd,subject_macro_f1_repeat_t_ci95_low,subject_macro_f1_repeat_t_ci95_high,subject_macro_f1_repeat_t_ci95_method,duration_sec_n_repeats,duration_sec_mean,duration_sec_sample_sd,duration_sec_repeat_t_ci95_low,duration_sec_repeat_t_ci95_high,duration_sec_repeat_t_ci95_method,source_study,formal_v2_selection_eligible
1,s1_085,main_effect_dropout-0p0_lr0.001_wd0.0005_do0_ls0.1_mw90_ep10,inceptiontime,inception_time,stage1,main_effect,dropout,0.0,10,0.001,0.0005,0.0,0.1,0.9,5,"42,10042,20042,30042,40042",5,0.5559822552709084,0.020089681519485966,0.5310376209927832,0.5809268895490336,two_sided_student_t_0.95,5,0.5581696882620819,0.017417952710283825,0.5365424434593068,0.579796933064857,two_sided_student_t_0.95,5,0.5777777777777777,0.019122107803762375,0.5540345449480747,0.6015210106074808,two_sided_student_t_0.95,5,0.579139739829696,0.023213005958509385,0.5503169860409254,0.6079624936184667,two_sided_student_t_0.95,5,0.6231481481481482,0.06995184998892041,0.5362914544091553,0.7100048418871412,two_sided_student_t_0.95,5,0.6257815229594743,0.07700891353659431,0.5301623274802985,0.7214007184386502,two_sided_student_t_0.95,5,141.84506332222372,5.235491523373022,135.34434198475046,148.345784659697,two_sided_student_t_0.95,20260608_1206_overfitting_sweep_stage1_rank2,False
2,s1_091,main_effect_dropout-0p7_lr0.001_wd0.0005_do0.7_ls0.1_mw90_ep10,inceptiontime,inception_time,stage1,main_effect,dropout,0.7,10,0.001,0.0005,0.7,0.1,0.9,5,"42,10042,20042,30042,40042",5,0.5594575662792673,0.033445031315428884,0.5179300749761018,0.6009850575824329,two_sided_student_t_0.95,5,0.5632953771613811,0.030773136584240437,0.5250854813529225,0.6015052729698397,two_sided_student_t_0.95,5,0.6011111111111112,0.05231030790157138,0.536159285054776,0.6660629371674464,two_sided_student_t_0.95,5,0.6050549005792161,0.04746355617033775,0.5461211116557855,0.6639886895026467,two_sided_student_t_0.95,5,0.6212962962962962,0.05107301989082079,0.5578807662183192,0.6847118263742733,two_sided_student_t_0.95,5,0.6219408948240555,0.04117067723899425,0.5708207471147291,0.6730610425333818,two_sided_student_t_0.95,5,141.53674943484367,1.9746511896279666,139.08489614367238,143.98860272601496,two_sided_student_t_0.95,20260608_1206_overfitting_sweep_stage1_rank2,False
3,s1_105,strong_combo_combined_regularization-wd0p005_do0p5_ls0p2_mw0p9_lr0.001_wd0.005_do0.5_ls0.2_mw90_ep10,inceptiontime,inception_time,stage1,strong_combo,combined_regularization,wd0.005_do0.5_ls0.2_mw0.9,10,0.001,0.005,0.5,0.2,0.9,5,"42,10042,20042,30042,40042",5,0.5507741200444671,0.012760312870418079,0.5349300989474528,0.5666181411414815,two_sided_student_t_0.95,5,0.5583182719382944,0.01100058998653505,0.544659235393013,0.5719773084835759,two_sided_student_t_0.95,5,0.5781481481481482,0.030538715898417886,0.5402293240657097,0.6160669722305867,two_sided_student_t_0.95,5,0.5856208025987779,0.025772657449630736,0.5536198217055334,0.6176217834920225,two_sided_student_t_0.95,5,0.6157407407407407,0.037753487107176124,0.56886359499311,0.6626178864883714,two_sided_student_t_0.95,5,0.6253964850154109,0.03887824572457052,0.5771227669858922,0.6736702030449296,two_sided_student_t_0.95,5,132.3955298099667,0.4003395755597634,131.89844257193795,132.89261704799543,two_sided_student_t_0.95,20260608_1206_overfitting_sweep_stage1_rank2,False
4,s1_163,main_effect_dropout-0p5_lr0.001_wd0.0005_do0.5_ls0.1_mw90_ep15,inceptiontime,inception_time,stage1,main_effect,dropout,0.5,15,0.001,0.0005,0.5,0.1,0.9,5,"42,10042,20042,30042,40042",5,0.5661165325878235,0.027966326079842698,0.5313917523324557,0.6008413128431912,two_sided_student_t_0.95,5,0.5679008533504339,0.02882873490593665,0.5321052511039721,0.6036964555968958,two_sided_student_t_0.95,5,0.5874074074074075,0.04105831611695,0.5364267744581213,0.6383880403566937,two_sided_student_t_0.95,5,0.591817813842576,0.043556136339812986,0.5377357274485755,0.6458999002365766,two_sided_student_t_0.95,5,0.612037037037037,0.030604618298219314,0.5740363843173699,0.6500376897567042,two_sided_student_t_0.95,5,0.6168286224227805,0.029222468344174073,0.5805441355411702,0.6531131093043907,two_sided_student_t_0.95,5,215.21800370104611,3.277086147745426,211.14896381237835,219.28704358971387,two_sided_student_t_0.95,20260608_1206_overfitting_sweep_stage1_rank2,False
5,s1_079,main_effect_weight_decay-0p0001_lr0.001_wd0.0001_do0.2_ls0.1_mw90_ep10,inceptiontime,inception_time,stage1,main_effect,weight_decay,0.0001,10,0.001,0.0001,0.2,0.1,0.9,5,"42,10042,20042,30042,40042",5,0.5467409810334776,0.02158990136710421,0.519933577781174,0.5735483842857811,two_sided_student_t_0.95,5,0.5547063071797844,0.01885616392826933,0.5312932872858239,0.5781193270737449,two_sided_student_t_0.95,5,0.5831481481481482,0.025654999753375155,0.5512932585804557,0.6150030377158406,two_sided_student_t_0.95,5,0.5934453087785329,0.024123861001832957,0.563491579074885,0.6233990384821807,two_sided_student_t_0.95,5,0.6064814814814816,0.04049272149198126,0.5562031270155966,0.6567598359473666,two_sided_student_t_0.95,5,0.6126155457391156,0.0365184878531369,0.5672718541030339,0.6579592373751972,two_sided_student_t_0.95,5,143.6554935593158,0.4105056396519367,143.14578348550037,144.16520363313123,two_sided_student_t_0.95,20260608_1206_overfitting_sweep_stage1_rank2,False
6,s1_075,main_effect_baseline-base_lr0.001_wd0.0005_do0.2_ls0.1_mw90_ep10,inceptiontime,inception_time,stage1,main_effect,baseline,base,10,0.001,0.0005,0.2,0.1,0.9,5,"42,10042,20042,30042,40042",5,0.5573843907829116,0.015318643754968303,0.5383637823310585,0.5764049992347646,two_sided_student_t_0.95,5,0.5643435854820605,0.013448504881440547,0.5476450611411082,0.5810421098230129,two_sided_student_t_0.95,5,0.5951851851851852,0.033489858833963375,0.5536020331661264,0.6367683372042439,two_sided_student_t_0.95,5,0.6028323204574536,0.03151475555259951,0.5637015830755986,0.6419630578393086,two_sided_student_t_0.95,5,0.6046296296296296,0.053451675545820816,0.5382606084607152,0.670998650798544,two_sided_student_t_0.95,5,0.6124108514157423,0.056701159758817725,0.5420070626868181,0.6828146401446664,two_sided_student_t_0.95,5,144.53521103933454,0.9135084625750701,143.4009404693006,145.6694816093685,two_sided_student_t_0.95,20260608_1206_overfitting_sweep_stage1_rank2,False
7,s1_077,main_effect_weight_decay-1em05_lr0.001_wd1e-05_do0.2_ls0.1_mw90_ep10,inceptiontime,inception_time,stage1,main_effect,weight_decay,1e-05,10,0.001,1e-05,0.2,0.1,0.9,5,"42,10042,20042,30042,40042",5,0.5535367192897687,0.0147595270810263,0.5352103458827447,0.5718630926967926,two_sided_student_t_0.95,5,0.5602656715946408,0.015568540875672922,0.5409347748847539,0.5795965683045277,two_sided_student_t_0.95,5,0.5748148148148148,0.024649462913984004,0.5442084641394619,0.6054211654901677,two_sided_student_t_0.95,5,0.5829613004190156,0.024178610864344276,0.5529395897821808,0.6129830110558504,two_sided_student_t_0.95,5,0.6037037037037039,0.06103390184324816,0.5279201051150402,0.6794873022923675,two_sided_student_t_0.95,5,0.6117921668592463,0.06727939148334766,0.5282537686333164,0.6953305650851762,two_sided_student_t_0.95,5,144.17561547514052,0.49700540445473995,143.55850175751635,144.79272919276468,two_sided_student_t_0.95,20260608_1206_overfitting_sweep_stage1_rank2,False
8,s1_165,main_effect_dropout-0p7_lr0.001_wd0.0005_do0.7_ls0.1_mw90_ep15,inceptiontime,inception_time,stage1,main_effect,dropout,0.7,15,0.001,0.0005,0.7,0.1,0.9,5,"42,10042,20042,30042,40042",5,0.5595942456886017,0.015542322722776896,0.5402959031152653,0.5788925882619381,two_sided_student_t_0.95,5,0.5613218385501149,0.019168051159407788,0.5375215595097502,0.5851221175904795,two_sided_student_t_0.95,5,0.5916666666666667,0.024931318551548603,0.5607103459934591,0.6226229873398742,two_sided_student_t_0.95,5,0.5918003390763125,0.026989045147521092,0.5582890133707394,0.6253116647818855,two_sided_student_t_0.95,5,0.6037037037037036,0.03936546605459504,0.5548250217312005,0.6525823856762067,two_sided_student_t_0.95,5,0.6002175914784161,0.03490889301548389,0.5568724758039428,0.6435627071528894,two_sided_student_t_0.95,5,211.97883568573744,1.3783612029614307,210.2673742034994,213.69029716797547,two_sided_student_t_0.95,20260608_1206_overfitting_sweep_stage1_rank2,False
9,s1_099,main_effect_max_windows_fraction-0p7_lr0.001_wd0.0005_do0.2_ls0.1_mw70_ep10,inceptiontime,inception_time,stage1,main_effect,max_windows_fraction,0.7,10,0.001,0.0005,0.2,0.1,0.7,5,"42,10042,20042,30042,40042",5,0.5559177644016756,0.027716727470460188,0.5215029017535798,0.5903326270497714,two_sided_student_t_0.95,5,0.5611283497911639,0.027309915577835978,0.5272186108241808,0.595038088758147,two_sided_student_t_0.95,5,0.5796296296296297,0.05200457007458075,0.5150574272259578,0.6442018320333016,two_sided_student_t_0.95,5,0.5857328913498008,0.05198051438742689,0.5211905580268199,0.6502752246727816,two_sided_student_t_0.95,5,0.6027777777777776,0.08438127104166128,0.4980045914026728,0.7075509641528824,two_sided_student_t_0.95,5,0.6099287283794844,0.08710895141821168,0.50176867948221,0.7180887772767588,two_sided_student_t_0.95,5,104.47840094305575,0.568362343164887,103.77268588361318,105.18411600249831,two_sided_student_t_0.95,20260608_1206_overfitting_sweep_stage1_rank2,False
10,s1_183,strong_combo_combined_regularization-wd0p01_do0p6_ls0p3_mw0p7_lr0.001_wd0.01_do0.6_ls0.3_mw70_ep15,inceptiontime,inception_time,stage1,strong_combo,combined_regularization,wd0.01_do0.6_ls0.3_mw0.7,15,0.001,0.01,0.6,0.3,0.7,5,"42,10042,20042,30042,40042",5,0.5604161073180997,0.013767006395510458,0.5433221111137533,0.577510103522446,two_sided_student_t_0.95,5,0.5590227382151792,0.018509537783133873,0.5360401115264696,0.5820053649038889,two_sided_student_t_0.95,5,0.605,0.026952238913338922,0.5715343752703205,0.6384656247296795,two_sided_student_t_0.95,5,0.600742606546625,0.02785782027445976,0.5661525540433974,0.6353326590498527,two_sided_student_t_0.95,5,0.6027777777777776,0.04576079182648731,0.5459582500375312,0.6595973055180241,two_sided_student_t_0.95,5,0.5991478174454797,0.03961087046553501,0.5499644256509121,0.6483312092400474,two_sided_student_t_0.95,5,172.55563913788646,0.5923388710142994,171.82015328701135,173.29112498876157,two_sided_student_t_0.95,20260608_1206_overfitting_sweep_stage1_rank2,False
